title,specs,price,image,link
"Sony Digital Camera ZV-1 Only (Compact, Video Eye AF, Flip Screen, in-Built Microphone, 4K Vlogging Camera for Content Creation) - Black","ZV-1 Only (Compact, Video Eye AF, Flip Screen, in-Built","59,990",https://m.media-amazon.com/images/I/71q04J8-9YL._AC_UY218_.jpg,
Sony New Alpha ILCE-6100X (Previously ILCE-6100Y) with Upgraded SELP1650 (Ver 2) Power Zoom Lens + SEL55210 Lens | 24.2 MP | APS-C Sensor | Fast Auto Focus | Tiltable LCD – Black,ILCE-6100X (Previously ILCE-6100Y) with Upgraded SELP1650 (Ver 2) Power,"76,490",https://m.media-amazon.com/images/I/71SsP7PGEVL._AC_UY218_.jpg,https://www.amazon.in/Sony-ILCE-6100X-Previously-ILCE-6100Y-Upgraded/dp/B0DTK5596V/ref=sr_1_3?tag=nira6studio-21
"LEQTRONIQ Digital Camera, 4k Cameras for Photography & Video, 64MP WiFi Touch Screen Vlogging Camera for YouTube with Flash, 32GB SD Card, Lens Hood, 3000mAH Battery, Front and Rear Cameras - Black","4k Cameras for Photography & Video, 64MP WiFi Touch","15,999",https://m.media-amazon.com/images/I/71UD0DCIVSL._AC_UY218_.jpg,https://www.amazon.in/LEQTRONIQ-Digital-Cameras-Photography-Vlogging/dp/B0D9HJ34SW/ref=sr_1_4?tag=nira6studio-21
"Saneen Digital Camera, 4K Cameras for Photography and Video, 64MP WiFi Touchscreen, Vlogging Camera for YouTube with Flash, 32GB Card, Sunshade, 3000mAh Battery, Front Cameras","4K Cameras for Photography and Video, 64MP WiFi Touchscreen,","13,999",https://m.media-amazon.com/images/I/711X0g9zd5L._AC_UY218_.jpg,https://www.amazon.in/Saneen-Digital-Photography-Vlogging-YouTube/dp/B0CFZRPQMZ/ref=sr_1_5?tag=nira6studio-21
Canon EOS R50 RF-S18-45mm f/4.5-6.3 is STM Mirrorless Camera (Black)- 4K Video Vlogging with 24.2 MP,RF-S18-45mm f/4.5-6.3 is STM Mirrorless Camera (Black)- 4K Video,"64,990",https://m.media-amazon.com/images/I/81LskAU5h1L._AC_UY218_.jpg,https://www.amazon.in/Canon-Digital-Camera-RF-S18-45mm-Black/dp/B0BYZHDRN6/ref=sr_1_6?tag=nira6studio-21
Canon EOS R100 24.1 MP Mirrorless Camera (Black) with RF-S18-45mm f/4.5-6.3 is STM Optical Zoom Lens | 4k Video,24.1 MP Mirrorless Camera (Black) with RF-S18-45mm f/4.5-6.3 is,"44,990",https://m.media-amazon.com/images/I/81Tib6mb8eL._AC_UY218_.jpg,https://www.amazon.in/Canon-Digital-Camera-R100-RF-S18-45mm/dp/B0C8HCLQVC/ref=sr_1_7?tag=nira6studio-21
Sony Alpha ILCE-6700M APS-C Interchangeable-Lens Mirrorless Camera (Body + 18-135 mm Power Zoom Lens) | Made for Creators | 26.0 MP | Artificial Intelligence based Autofocus | 4K 60p Recording - Black,APS-C Interchangeable-Lens Mirrorless Camera (Body + 18-135 mm Power,"1,58,990",https://m.media-amazon.com/images/I/71NZHYzkyzL._AC_UY218_.jpg,https://www.amazon.in/Sony-ILCE-6700M-Interchangeable-Lens-Mirrorless-Intelligence/dp/B0CNRZ7X7T/ref=sr_1_8?tag=nira6studio-21
"DJI Osmo Pocket 3 Creator Combo, Vlogging Camera with 1'' CMOS & 4K/120fps Video, 3-Axis Stabilization, Face/Object Tracking, Fast Focusing, Mic Included for Clear Sound, Small Camera for Photography","3 Creator Combo, Vlogging Camera with 1'' CMOS &","60,990",https://m.media-amazon.com/images/I/51d4Esi79-L._AC_UY218_.jpg,https://www.amazon.in/DJI-Vlogging-Stabilization-Tracking-Photography/dp/B0CG19FGQ5/ref=sr_1_9?tag=nira6studio-21
Canon EOS R8 Smartchoice Full-Frame 24.2 MP Mirrorless Camera Body | 4K Full HD Video Recording | (Black),Smartchoice Full-Frame 24.2 MP Mirrorless Camera Body | 4K,"1,07,990",https://m.media-amazon.com/images/I/61bpFmbi99L._AC_UY218_.jpg,https://www.amazon.in/Canon-Full-Frame-Mirrorless-Camera-Processor/dp/B0BYHHMFY6/ref=sr_1_10?tag=nira6studio-21
"Sony Alpha ZV-E10L 24.2 Mega Pixel Interchangeable-Lens Mirrorless vlog Camera with 16-50 mm Lens, Made for Creators | APS-C Sensor | Advanced Autofocus | Clear Audio & 4K Movie Recording - White",24.2 Mega Pixel Interchangeable-Lens Mirrorless vlog Camera with 16-50,"61,490",https://m.media-amazon.com/images/I/71AJ6LicHkL._AC_UY218_.jpg,https://www.amazon.in/Sony-ZV-E10L-Interchangeable-Lens-Mirrorless-Autofocus/dp/B0F8J6L4GL/ref=sr_1_13?tag=nira6studio-21
